NO,dialogue,MITI_code,target
Co1 ,今日の朝はどうかした？遅れて来てたみたいだったけど。,3,遅刻を減らすために、テレビと持ち帰り仕事を減らす
Cl1 ,いや、それが、特に何があったというわけでは無いんですが、間に合わなくて。,0,
Co2 ,そっか、大事がなかったなら良かったよ。時間通りに来ようとはしてくれたんだね。,5,
Cl2 ,そうですね。すみません。,0,
Co3 ,いや、別に責めてるつもりはないんだよ。もし何か時間通りに来るために手伝えることがあれば協力したいと思って。,0,
Cl3 ,そうですか。,0,
Co4 ,いや、でも、前に話をさせてもらって、相談者君も気を付けてくれているみたいで良かったよ。遅刻しないようにすることについてはどんな感じ？,3,
Cl4 ,そうですね。気をつけてはいるんですが、なかなか起きられなくて。,0,
Co5 ,そっか。朝が起きられればってところか。,2,
Cl5 ,そうなんですよね。,7,
Co6 ,でもそれがなかなか難しいと。,2,
Cl6 ,はい。気をつけてはいるんですが…,0,
Co7 ,どんなことをしてくれているの？,3,
Cl7 ,そうですね。目覚ましをたくさんかけたり、夜は早めに負担に入るようにしたり…,0,
Co8 ,色々工夫してくれてるみたいだね。ありがとう。それが効果を発揮してくれればってところだね。,5,
Cl8 ,そうですね。ただ、難しいですよね。,0,
Co9 ,そうだね。でも、来られているときもあるよね。その時はどんな感じかな？,3,
Cl9 ,うぅん．．．たまたま起きるとか、そんなに意識していなくても起きられるんですよね。,0,
Co10 ,来られるときは、意識せずにも起きられるのか！それはいいね！,5,
Cl10 ,そうなんですよ…逆に起きられない時は、寝るのが遅いのかもしれません。,0,
Co11 ,遅く寝ているせいで、朝定時に起きられない。,1,
Cl11 ,そうですね。,8,
Co12 ,やっぱり、寝るのが遅くなるっていうのは、色々やることがあったりするんだね。,2,
Cl12 ,そうですね。それだけのせいではないですが、仕事を持ち帰っていることも多いですかね。,8,
Co13 ,一つは、仕事を持ち帰えっているせいもあると。それはご苦労様。申し訳なかったね。,5,
Cl13 ,いえいえ。たまたま期限のある仕事だったので。,0,
Co14 ,一つはそれで、他には？,4,
Cl14 ,そうですね…まぁ、テレビ見すぎなのかな。,0,
Co15 ,テレビ、好きなんだね。,2,
Cl15 ,そうなんですよ。録画してあるのがあるんで…,0,
Co16 ,それは絶対に減らせないね。,2,
Cl16 ,そうですね…,8,
Co17 ,そうすると、今、テレビと、仕事の持ち帰りとあったわけだけど、今後、遅刻を減らすためにできそうなことがあるとしたら、どんなこと？,3,
Cl17 ,まずは、テレビですかね。きちんと時間を決めようと思います。録画してあるのをすべて見るとなると、遅くなってしまうので。,7,
Co18 ,そっか。それはありがとうね。仕事の持ち帰りについては、どうかな？,3,
Cl18 ,持ち帰りは、減らした方が良いとは思うのですが、締め切りを遅らせることもできませんし…,0,
Co19 ,そうしたら、私から提案させてもらいたいことがあるんだけどいい？,4,
Cl19 ,はい。,0,
Co20 ,まず、持ち帰りは極力減らして、できれば無しにすること。その上で、締め切りに間に合わなそうなことがあったら、早めに言ってもらえる？担当を増やしたりしようと思うから。,0,
Cl20 ,わかりました。それならできそうです。,7,
Co21 ,それでは、仕事の持ち帰りを無くすというのと、テレビの時間を調節するということで、やってみようか。,0,
Cl21 ,はい。ありがとうございました。,0,
